Id,Make,Vehicle_Class,Engine_Size,Cylinders,Transmission,Fuel_Type,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,CO2_Emissions
61,CADILUXE,FULL-SIZE,,,AS6,Z,16.501650165016503,13.002487562189055,14.925373134328359,337
62,DOGE,MID-SIZE,2.4,4.0,M6,X,11.60092807424594,8.0,10.0,209
63,GONDA,STATION WAGON - SMALL,1.8,4.0,AV7,X,4.199916001679966,6.901311249137336,5.414185165132648,139
64,LAMBOGI,TWO-SEATER,5.2,10.0,AM7,Z,23.698070469798658,16.89189189189189,20.66115702479339,371
65,MATSUDA,COMPACT,2.0,4.0,M6,X,10.0,6.901311249137336,8.605851979345957,173
66,CADILUXE,SUV - STANDARD,3.6,6.0,AS6,X,19.0,11.1,15.4,304
67,FOLKSWA,COMPACT,1.8,4.0,M5,X,9.8,,8.7,187
68,BMV,COMPACT,3.0,6.0,AM7,Z,14.7,9.501547258661285,12.36022070415134,295
69,BMV,SUBCOMPACT,3.0,6.0,M6,Z,9.699321047526672,7.7,8.8,267
70,DOGE,MID-SIZE,6.4,8.0,M6,Z,16.7,13.297872340425533,15.174506828528074,356
71,LECUS,COMPACT,5.0,8.0,AS8,Z,12.4,10.400625920471281,11.501669381107492,314
72,DOGE,SUV - SMALL,3.6,6.0,A6,E,,10.3,11.013215859030836,262
73,FOLD,SUBCOMPACT,2.3,4.0,AS10,X,8.60018281535649,7.898894154818326,8.29,230
74,BMV,COMPACT,,4.0,M6,Z,11.5,9.0,10.4,215
75,TOYOTI,MID-SIZE,3.5,6.0,AS6,X,,9.1,10.75268817204301,221
76,DOGE,MID-SIZE,6.4,8.0,A8,Z,29.48653444676409,15.0,22.98,350
77,FIAR,MINICOMPACT,1.4,4.0,M5,X,7.800312012480499,7.299270072992701,7.57536231884058,180
78,ASURA,COMPACT,,4.0,AM8,Z,10.701319381255686,7.698229407236336,9.35,211
79,FOLD,PICKUP TRUCK - STANDARD,3.3,6.0,AS6,E,,9.1,10.253487358326067,260
80,TOYOTI,COMPACT,,4.0,A4,X,8.8,6.30119722747322,7.674597083653109,120
81,BARUSU,MID-SIZE,,4.0,AV7,X,8.698779585798817,8.4,8.56,193
82,KIO,STATION WAGON - SMALL,1.6,4.0,AM6,X,9.49667616334283,6.901311249137336,8.333333333333334,159
83,CHEVO,SUBCOMPACT,2.0,4.0,AS8,Z,13.49527665317139,8.6,11.29,222
84,JIPU,SUV - STANDARD,6.4,8.0,A8,Z,19.799242424242422,18.0,18.984261501210653,361
85,FOLD,FULL-SIZE,3.5,6.0,AS6,E,12.8,10.8,11.899999999999999,252
86,CADILUXE,MID-SIZE,6.2,8.0,AS8,Z,19.0,11.5,15.62,428
87,FOLKSWA,SUV - SMALL,,4.0,AS6,Z,13.6,10.5,12.2,259
88,KIO,MINIVAN,,6.0,AS6,X,12.7,8.896797153024911,11.0,270
89,RYUNDAI,MID-SIZE,2.0,4.0,M6,X,9.0,7.099296305604423,8.100000000000001,185
90,FOLKSWA,STATION WAGON - SMALL,1.8,4.0,M5,,9.30232558139535,5.80046403712297,7.727975270479135,194
91,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,X,12.799320344358858,11.701781275890637,12.302039748953975,353
92,CHEVO,COMPACT,1.4,4.0,M6,X,8.9,7.8,8.4,198
93,CHEVO,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,11.6,7.79903368304804,9.890791316526611,313
94,CADILUXE,COMPACT,3.6,6.0,AS6,X,10.0,7.9010749076251265,9.05,252
95,CHEVO,PICKUP TRUCK - STANDARD,5.3,8.0,A6,X,15.8,13.100000000000001,14.577259475218659,418
96,BMV,SUBCOMPACT,4.4,8.0,AM7,Z,21.691973969631235,10.298661174047373,16.567800586510263,392
97,CHEVO,,5.3,,A6,E,19.4,9.30232558139535,14.86,266
98,LECUS,SUBCOMPACT,3.5,6.0,AS6,Z,16.402719665271967,12.6,14.684287812041116,273
99,LAND CRAWLER,SUV - SMALL,2.0,4.0,AS8,Z,11.299435028248588,8.999076138897738,10.266940451745379,245
100,ASURA,COMPACT,,6.0,AS9,Z,12.2,,10.4,219
101,KIO,SUV - SMALL,2.4,4.0,,X,11.001100110011,9.49667616334283,10.3,236
102,TOYOTI,MINICOMPACT,2.0,4.0,M6,Z,12.5,8.6,10.74,241
103,FOLD,PICKUP TRUCK - STANDARD,,8.0,AS6,X,19.68503937007874,10.700000000000001,15.649700598802395,346
104,BMV,SUV - STANDARD,3.0,6.0,A8,Z,10.905125408942203,7.599704062415927,9.416195856873824,247
105,MATSUDA,MID-SIZE,2.5,4.0,AS6,X,4.199916001679966,5.6,4.83,106
106,JIPU,SUV - SMALL,3.6,6.0,A8,,13.60544217687075,8.2,11.17,274
107,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS6,E,15.49505928853755,8.403361344537815,12.3,297
108,LECUS,SUV - SMALL,2.5,4.0,AV6,,9.0,7.2,8.1902290518991,164
109,NIRRAN,MID-SIZE,,4.0,AV,X,11.6,8.6,10.25,195
110,TOYOTI,COMPACT,,4.0,,X,9.1,7.5,8.379738949866509,157
111,FOLD,MID-SIZE,2.0,4.0,,X,11.600862422997945,9.3,10.56,214
112,MITSU,,2.0,4.0,AV6,X,9.800625,7.800000000000001,8.9,197
113,CHEVO,PICKUP TRUCK - STANDARD,6.2,8.0,A8,Z,13.402564102564103,12.594458438287154,13.041597414589104,353
114,BMV,TWO-SEATER,3.0,,AM7,Z,18.41620626151013,,14.76,283
115,DOGE,FULL-SIZE,3.6,6.0,,X,,11.001100110011,14.961917372881356,273
116,LAMBOGI,TWO-SEATER,6.5,12.0,AM7,Z,21.0,14.3,17.98,358
117,FOLD,MID-SIZE,2.0,4.0,AV,X,10.298661174047373,5.300022532672375,8.05,167
118,MITSU,SUV - SMALL,2.4,4.0,AV6,X,8.9,8.7,8.81,229
119,KIO,MINIVAN,3.3,6.0,AS6,,,7.9,10.373443983402488,312
120,FOLD,COMPACT,1.0,3.0,M6,X,11.501669381107492,7.2,9.565899085675584,165
121,DOGE,MID-SIZE,2.4,4.0,A6,X,8.4,6.7,7.633587786259542,188
122,TOLVO,SUV - STANDARD,2.0,,AS8,Z,8.196721311475411,7.400602567461356,7.836990595611286,253
123,CHEVO,COMPACT,1.4,4.0,AS6,X,10.3,7.699345335515548,9.129961215255332,186
124,LECUS,MID-SIZE,3.5,6.0,AV10,Z,4.2,6.30119722747322,5.144032921810699,185
125,GONDA,SUV - SMALL,1.5,4.0,AV,X,9.1,7.09975852701479,8.196721311475411,164
126,NIRRAN,MID-SIZE,3.5,6.0,AV,X,11.098779134295228,7.5,9.480652962515116,207
127,MATSUDA,SUV - SMALL,2.5,,AS6,X,10.604453870625663,7.199724517906335,9.1,192
128,BMV,SUBCOMPACT,4.4,8.0,AS8,Z,16.705610795454547,17.501116071428573,17.064846416382252,289
129,LAMBOGI,,4.0,8.0,AS8,Z,17.7,11.802057200200704,15.037593984962406,391
130,FOLD,COMPACT,,4.0,M6,X,10.600000000000001,12.1,11.273957158962798,203
131,GONDA,FULL-SIZE,1.5,4.0,AV7,Z,10.398541114058355,6.4,8.6,166
132,FOLD,FULL-SIZE,2.0,4.0,AS6,X,10.504201680672269,6.3,8.613264427217915,204
133,CADILUXE,MID-SIZE,6.2,8.0,AS8,Z,17.9,14.3,16.28,359
134,BARUSU,STATION WAGON - SMALL,2.0,4.0,M5,X,10.1,8.5,9.380863039399625,201
135,FOLD,SPECIAL PURPOSE VEHICLE,2.0,4.0,AS8,X,12.1,9.6,10.976948408342482,226
136,MATSUDA,COMPACT,2.0,4.0,AS6,X,,6.8,8.29,181
137,BMV,COMPACT,3.0,6.0,M6,Z,11.29924,9.499798061389336,10.49,238
138,DOGE,MID-SIZE,6.2,8.0,A8,Z,20.59676007005254,17.501116071428573,19.193857965451055,372
139,LAMBOGI,TWO-SEATER,5.2,10.0,AM7,Z,16.1,15.290519877675841,15.74,360
140,FOLD,SUV - STANDARD,3.5,6.0,AS6,E,18.50629425649095,11.299435028248588,15.267175572519085,308
141,FOLD,SUBCOMPACT,2.3,4.0,AS10,X,16.200000000000003,8.2,12.6,218
142,FOLD,SUV - STANDARD,3.5,6.0,AS6,E,13.799999999999999,9.596928982725528,11.899999999999999,312
143,CHEVO,PICKUP TRUCK - STANDARD,2.7,4.0,A8,,18.694970218398414,9.49667616334283,,296
144,BMV,MID-SIZE,2.0,4.0,AS8,Z,9.999327433628318,7.699345335515548,8.96,213
145,DOGE,MID-SIZE,2.4,4.0,A6,X,10.600000000000001,7.9,9.380863039399625,210
146,FOLKSWA,COMPACT,,4.0,AM6,X,7.199999999999999,8.6,7.83,191
147,MITSU,COMPACT,2.0,,AV6,X,8.802816901408452,7.0,7.987220447284345,186
148,TOYOTI,SUV - STANDARD,4.0,6.0,AS5,X,17.3,11.897572078907436,14.880952380952381,344
149,BMV,COMPACT,3.0,6.0,AS8,Z,9.803921568627452,8.196721311475411,9.08,223
150,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,12.7,7.9,10.54,232
151,DOGE,SUV - SMALL,3.6,6.0,A6,E,14.0,9.398496240601503,11.899999999999999,272
152,JIPU,SUV - SMALL,2.4,4.0,A9,X,11.1,12.106537530266344,11.55,222
153,CHEVO,PICKUP TRUCK - SMALL,3.6,6.0,A8,X,18.2,18.499083169613623,18.3,362
154,BMV,SUBCOMPACT,4.4,8.0,AS8,Z,17.605913173652695,9.900990099009901,14.144271570014144,310
155,RYUNDAI,FULL-SIZE,2.0,4.0,AS6,X,10.1,5.5,8.03,201
156,BMV,STATION WAGON - SMALL,2.0,4.0,A8,D,9.70058379120879,7.3,8.62,160
157,TOYOTI,MID-SIZE,1.8,4.0,AV,X,5.1,5.899705014749263,5.459958217270195,113
158,MATSUDA,COMPACT,2.5,4.0,AS6,X,9.398496240601503,6.800216658642272,8.23045267489712,117
159,NIRRAN,MID-SIZE,1.8,4.0,AV,X,5.5,7.598784194528875,6.444246575342466,105
160,TOLVO,STATION WAGON - SMALL,2.5,5.0,AS6,X,9.401079136690647,8.199738751814223,8.860759096612297,230
161,CHEVO,SUBCOMPACT,1.2,4.0,M5,X,9.70058379120879,5.5,7.8125,169
162,BMV,SUV - SMALL,3.0,6.0,AS8,Z,14.9,9.699587628865979,,284
163,CHEVO,COMPACT,1.8,4.0,AS6,X,9.2,6.901311249137336,8.16,198
164,BARUSU,MINICOMPACT,2.0,,M6,Z,9.30232558139535,7.7,8.58,239
165,FOLD,SUV - SMALL,2.5,4.0,AS6,X,10.4,7.299270072992701,9.0,200
166,KIO,MID-SIZE,2.4,4.0,AM6,X,4.2,6.299754683318465,5.1453734061930785,143
167,RYUNDAI,SUV - SMALL,2.0,4.0,AS6,X,10.2,7.69912782774598,9.07,198
168,BMV,SUBCOMPACT,2.0,4.0,AS8,Z,9.300711743772242,7.5004783163265305,,187
169,GONDA,FULL-SIZE,,,AV,X,8.899842470069313,6.5,7.8186082877247856,168
170,FOLD,PICKUP TRUCK - STANDARD,3.7,6.0,A6,X,15.5,12.000765306122448,13.93,344
171,MITSU,COMPACT,1.2,3.0,AV,X,10.2,6.2,,178
172,DOGE,MINIVAN,3.6,6.0,A6,X,17.88908765652952,9.60061224489796,14.2,287
173,TOYOTI,SUV - SMALL,2.5,4.0,AS6,X,11.100000000000001,6.2,8.894238035264483,212
174,FOLD,PICKUP TRUCK - STANDARD,3.0,6.0,AS10,D,15.0,11.1,,301
175,TOLVO,COMPACT,,4.0,AS8,X,8.3,8.097165991902834,8.210180623973727,181
176,FOLD,SUV - SMALL,2.0,4.0,AS6,X,9.8,9.1,9.48,238
177,JIPU,SUV - SMALL,1.3,4.0,A9,X,13.502583237657863,6.1012812690665035,10.168502519798416,210
178,FIAR,MINICOMPACT,1.4,4.0,A6,X,11.8,7.4,9.818595759471672,209
179,DOGE,MID-SIZE,5.7,8.0,A8,X,14.6,12.39931470743279,13.60544217687075,315
180,ASURA,SUV - SMALL,3.5,6.0,AS6,Z,8.896797153024911,10.1,9.44,235
181,NIRRAN,MID-SIZE,1.6,4.0,AV7,Z,12.0,8.299752999294284,10.34,210
182,TOYOTI,SUV - SMALL,2.5,4.0,AS6,X,8.503401360544219,8.4,8.46,212
183,FOLD,MID-SIZE,2.7,,AS6,X,10.2,8.0,9.210335833061624,271
184,TOYOTI,SUV - STANDARD,3.5,6.0,AS6,X,16.0,13.192612137203167,14.737781954887218,289
185,CHEVO,SUV - SMALL,2.5,4.0,A9,X,13.0,8.1,10.79463056447912,241
186,FIAR,MINICOMPACT,1.4,4.0,M5,X,10.599662288930581,7.09975852701479,9.03,179
187,JIPU,SUV - SMALL,3.2,6.0,A9,X,16.50005841121495,10.4,13.75515818431912,260
188,CADILUXE,FULL-SIZE,2.0,4.0,AS8,Z,8.403361344537815,7.8,8.130487383339094,216
189,LECUS,MID-SIZE,2.5,4.0,AS6,X,9.899621212121211,7.2,8.69,162
190,CHEVO,MID-SIZE,1.8,4.0,M6,X,9.3,7.7,8.6,194
191,TOYOTI,MID-SIZE,1.8,,AV,X,10.500669642857144,6.697923643670462,8.787346221441124,172
192,KIO,SUV - SMALL,2.0,4.0,AS6,X,16.705610795454547,12.7,14.9,272
193,JIPU,,,6.0,M6,X,19.7,14.501541307028361,17.36,304
194,CHEVO,SUBCOMPACT,6.2,8.0,M6,Z,20.4,,17.57,314
195,TOYOTI,PICKUP TRUCK - SMALL,3.5,6.0,AS6,X,12.4,9.1,10.91703056768559,268
196,KIO,SUV - SMALL,2.0,4.0,AS6,X,17.2,10.604453870625663,14.23,279
197,FOLKSWA,COMPACT,2.0,4.0,M6,X,12.1,9.0,10.706190259444698,214
198,CHEVO,SUBCOMPACT,6.2,8.0,AS10,Z,15.597811671087534,13.899999999999999,,314
199,FOLD,SUBCOMPACT,2.3,4.0,AS6,X,12.8,8.503401360544219,10.87,225
200,CHEVO,MID-SIZE,1.4,4.0,M6,X,10.7,7.898894154818326,9.399999999999999,161
201,FOLKSWA,MID-SIZE,2.0,,AS6,X,,8.201359832635983,9.796543107038733,192
202,FOLD,MID-SIZE,,4.0,AV,X,9.399999999999999,6.501950585175552,,176
203,DOGE,MID-SIZE,3.6,6.0,A8,X,11.9,9.3,10.728484618306116,231
204,FOLD,SPECIAL PURPOSE VEHICLE,2.5,4.0,AS6,X,15.203498385360604,6.499447361149489,11.286708253358926,246
205,TOYOTI,MID-SIZE,3.5,6.0,AS6,X,11.001637043966324,7.1,9.24,226
206,CHEVO,MID-SIZE,,4.0,M5,X,13.99806739345887,7.2,10.940919037199125,184
207,BMV,FULL-SIZE,4.4,8.0,A8,Z,16.001020408163267,10.504201680672269,13.522307324078506,292
208,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,20.1,12.106537530266344,,330
209,LAMBOGI,TWO-SEATER,5.2,10.0,AM7,Z,17.605633802816904,10.9,,369
210,CHEVO,SUBCOMPACT,6.2,8.0,AS10,Z,15.09786210582576,10.799586776859504,13.162562954672635,396
211,CADILUXE,STATION WAGON - SMALL,3.6,6.0,AS6,X,16.0,10.0,13.297872340425533,277
212,BMV,COMPACT,3.0,6.0,AS8,Z,11.401599612215222,7.698229407236336,9.737098344693282,233
213,TOYOTI,MID-SIZE,,4.0,AV6,X,9.30232558139535,7.199724517906335,8.36,157
214,CADILUXE,SUV - STANDARD,6.2,8.0,A6,Z,17.006802721088437,10.00063775510204,13.850415512465375,338
215,FOLKSWA,COMPACT,1.8,4.0,M5,X,8.802816901408452,7.898894154818326,8.39,189
216,BMV,COMPACT,,6.0,M6,Z,10.400625920471281,9.9,10.18,266
217,FOLD,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,30.21187165775401,19.1,25.2,361
218,CHEVO,SUV - STANDARD,5.3,8.0,A6,E,14.1,11.49425287356322,12.928192219679632,298
219,CADILUXE,FULL-SIZE,3.6,6.0,AS10,X,11.198208286674133,8.703220191470844,10.070493454179255,275
220,BMV,COMPACT,3.0,6.0,AS8,Z,9.3,7.6,8.534651669085632,196
221,CHEVO,SUV - STANDARD,5.3,8.0,A6,,15.597811671087534,12.302039748953975,14.124293785310734,350
222,BARUSU,COMPACT,2.5,4.0,M6,Z,15.698587127158556,10.5,13.356899488926746,315
223,BARUSU,MID-SIZE,2.0,4.0,AV7,X,6.200197541703248,6.901311249137336,6.5,97
224,KIO,SUV - SMALL,2.4,4.0,AS6,X,12.498140276301807,10.1010101010101,11.418203883495146,231
225,JIPU,,6.2,8.0,A8,Z,22.103364632237874,12.000042480883602,17.55,369
226,JIPU,PICKUP TRUCK - STANDARD,3.6,6.0,A8,X,18.2,9.201335504885993,14.2,307
227,BMV,COMPACT,,6.0,A8,Z,10.5,9.3,9.958298052497883,222
228,RYUNDAI,MID-SIZE,2.0,4.0,AM6,X,4.2,6.4997929130234695,5.24,103
229,CADILUXE,SUV - STANDARD,3.6,6.0,AS6,X,15.702112284602558,10.905125408942203,13.54,317
230,KIO,FULL-SIZE,3.8,6.0,AS8,X,15.600624024960998,12.2022030237581,14.06788277511962,293
231,NIRRAN,MID-SIZE,2.5,4.0,AV,X,8.000028320589067,6.901311249137336,7.5075075075075075,170
232,FOLD,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,12.8,7.399024850581944,10.4,286
233,CHEVO,TWO-SEATER,6.2,8.0,M7,Z,17.2,10.298661174047373,14.104372355430185,258
234,KIO,STATION WAGON - SMALL,2.0,4.0,AS6,X,11.899999999999999,7.9,10.1010101010101,215
235,FIAR,TWO-SEATER,,4.0,M6,X,10.00063775510204,7.1,8.694398276392736,192
236,DOGE,MID-SIZE,5.7,,A8,X,17.099334140435836,8.4,13.187721755368813,311
237,CADILUXE,COMPACT,3.6,,AS8,Z,22.123893805309738,11.100283152430391,17.143950437317784,310
238,DOGE,FULL-SIZE,3.6,6.0,A8,X,14.7,8.0,,260
239,BMV,FULL-SIZE,4.4,8.0,A8,,19.4,12.0,16.077170418006432,309
240,FOLD,SUV - SMALL,3.5,6.0,AS6,X,11.8,7.800000000000001,10.00063775510204,266
241,CADILUXE,MID-SIZE,6.2,8.0,AS8,Z,21.78649237472767,14.7009375,18.60878164556962,361
242,LECUS,SUV - STANDARD,4.6,8.0,AS6,Z,16.4,10.2,13.60544217687075,388
243,MITSU,COMPACT,1.2,3.0,AV,X,4.2,5.899705014749263,4.96,119
244,LECUS,SUV - SMALL,2.0,4.0,AS6,Z,13.402564102564103,9.60061224489796,11.695906432748536,237
245,CHEVO,SUV - STANDARD,5.3,8.0,A6,X,17.1,11.2,14.448095823095823,345
246,TOYOTI,PICKUP TRUCK - SMALL,3.5,6.0,M6,X,16.393442622950822,9.3,13.200000000000001,354
247,DOGE,MINIVAN,3.6,6.0,A6,X,12.1,9.699321047526672,11.02,290
248,KIO,COMPACT,1.6,4.0,,X,9.9,8.6,9.313583910319815,225
249,BARUSU,SUV - SMALL,2.0,4.0,AV,X,9.901191728005607,8.299999999999999,9.182736455463727,193
250,GONDA,MID-SIZE,2.0,4.0,AS10,X,10.200130095403296,7.399024850581944,,205
251,BMV,COMPACT,2.0,4.0,AS8,Z,9.0,6.6000000000000005,7.92,202
252,LECUS,MID-SIZE,,4.0,AS10,X,8.201359832635983,7.4,7.84,163
253,TOYOTI,MID-SIZE,3.5,6.0,AS8,X,10.1010101010101,8.3,9.29,209
254,JIPU,SUV - SMALL,2.4,4.0,A6,X,12.195121951219512,8.3,10.45,222
255,BMV,MID-SIZE,4.4,8.0,AS8,Z,15.8,10.1,13.23,324
256,BARUSU,MID-SIZE,2.0,4.0,M5,X,10.500669642857144,6.997900629811057,8.925150078988942,211
257,LECUS,SUBCOMPACT,5.0,8.0,AS8,Z,12.097687366167023,11.4,11.799999999999999,306
258,RYUNDAI,SUBCOMPACT,3.8,6.0,AS8,Z,11.9,11.3,11.63,302
259,CHEVO,COMPACT,6.2,8.0,M6,Z,30.5,13.3,22.770087124878994,436
260,JIPU,SUV - SMALL,2.0,4.0,A8,X,9.801561415683553,8.3,9.12406330749354,231
261,RYUNDAI,SUV - SMALL,3.3,6.0,AS6,X,14.7009375,9.999327433628318,12.59,273
262,JIPU,SUV - SMALL,2.0,4.0,A8,X,15.9,8.703220191470844,12.66,241
263,NIRRAN,MID-SIZE,3.5,6.0,AV7,Z,12.4,8.100000000000001,10.46,220
264,FOLD,PICKUP TRUCK - STANDARD,5.0,8.0,AS10,X,20.9,,16.80107142857143,334
265,CHEVO,COMPACT,1.6,4.0,A9,D,9.000900090009,7.7,8.414685731307715,179
266,TOLVO,SUV - SMALL,2.0,4.0,AS8,Z,12.6,8.599117199391172,10.8,236
267,FOLD,SUBCOMPACT,5.2,,AM7,Z,17.4,10.0,14.064697609001406,373
268,BMV,SUV - SMALL,2.0,4.0,AS8,Z,10.2,9.1,9.71,225
269,ASURA,SUV - SMALL,2.0,4.0,AS10,Z,16.200000000000003,10.1010101010101,13.457884707003336,242
270,CHEVO,FULL-SIZE,,6.0,,E,12.300123001230011,9.501547258661285,11.0,238
271,FOLD,SUV - SMALL,2.7,6.0,AS8,X,14.298784194528876,13.002487562189055,13.71,252
272,BARUSU,MINICOMPACT,2.0,4.0,AS6,Z,11.4,7.3,9.55,214
273,DOGE,MID-SIZE,1.4,4.0,M6,X,9.099226305609283,6.5,7.9,177
274,FOLD,PICKUP TRUCK - STANDARD,3.5,6.0,AS10,X,13.1,8.8,11.160714285714285,307
275,DOGE,MID-SIZE,6.4,8.0,M6,Z,15.503875968992247,10.4,13.21,338
276,TOYOTI,SUV - SMALL,3.5,6.0,AS6,X,,10.8,16.200000000000003,261
277,MITSU,COMPACT,1.2,3.0,AV,X,6.000382653061224,6.30119722747322,6.13,138
